GEOID20,avgPrem2022,nonRenewRate,nonPayRate,claimSeverity,claimFrequency,lossRatio
"50248",1674,1.1,0.9,21766,8,80
"50249",1785,1,2.1,11868,6,49
"50250",1702,0.7,2,19638,10,73
"50251",1574,0.9,1.4,10285,4,24
"50252",1617,0.6,1.6,42510,5,87
"50256",1469,0.5,3.9,11904,3,35
"50257",1830,0.9,2.6,11097,4,26
"50258",1650,1.3,2.5,12360,14,127
"50261",2088,0.9,1.6,31805,7,74
"50263",1711,1.3,1.3,12721,6,43
"50265",1676,1,1.4,13042,17,136
"50266",1843,1.2,1.3,13858,10,77
"50268",1501,0.9,4.9,5179,4,14
"50273",1688,1.2,1.3,18975,14,141
"50276",1685,1.7,1,17606,39,398
"50278",1701,1.7,3.5,12504,32,324
"50309",1566,1.1,4.5,9851,12,66
"50310",1353,1.4,1.3,11039,17,137
"50311",1484,1.1,1.5,10645,10,69
"50312",1962,1,1.5,13383,9,62
"50313",1376,1.1,2,11803,8,63
"50314",1597,1.6,3.8,12818,9,63
"50315",1316,1.3,1.8,10402,12,88
"50316",1392,1.7,2.7,12941,9,74
"50317",1333,1.3,1.9,11318,9,67
"50320",1425,1,1.8,12130,18,161
"50321",1831,1.2,1,11595,14,85
"50322",1497,1,1.1,11267,13,93
"50323",2024,1.2,1.1,16597,9,74
"50324",1455,1.2,1.3,11668,12,92
"50325",1905,1.4,1,14353,12,92
"50327",1605,1.1,1.3,19079,14,146
"50401",1542,1,2,12574,5,43
"50421",1611,1.3,2.2,27369,4,62
"50423",1462,0.7,2.1,12722,5,42
"50424",1549,0.2,1.7,7487,4,23
"50428",1727,1,1.5,18890,7,64
"50434",1570,1.5,2.9,20916,13,168
"50435",1550,0.2,0.7,11499,8,51
"50436",1685,1,2.5,14278,4,40
"50438",1688,0.6,2.1,12217,18,134
"50441",1510,0.9,2.7,12836,5,37
"50446",1811,0.8,3,24828,9,264
"50447",1848,1.6,1.6,5656,11,61
"50448",1592,0.6,1.9,19545,5,92
"50449",1632,2.8,2.8,15299,12,182
"50450",1710,0.8,1.3,9632,4,21
"50456",1552,1.3,1.2,19513,5,69
"50458",1597,0.9,1.9,15706,6,62
"50459",1593,1.1,1.4,20743,6,66
"50461",1601,0.9,1.8,10276,3,17
"50464",1544,0.7,1.1,45911,8,97
"50466",1558,3.4,2.9,9500,4,22
"50468",1743,1,2.6,17011,12,113
"50469",1710,1.2,2.9,26470,8,147
"50472",1730,0.8,1.8,17241,3,30
"50475",1600,1.4,0.9,6643,8,41
"50480",1517,2.6,1,8685,3,16
"50482",1654,0.4,2.6,12515,11,91
"50501",1591,1,1.8,13669,14,104
"50510",1681,0.5,0.5,2767,4,14
"50511",1581,0.5,0.8,11759,4,35
"50516",1526,0.6,1.2,11603,5,35
"50523",1633,1,0.3,22922,4,51
"50525",1556,1,1.9,15285,3,31
"50529",1432,0.8,1.1,7691,6,34
"50530",1693,1.7,2.1,9647,5,34
"50532",1723,0.5,1.4,18129,8,109
"50533",1567,1.4,2.9,11531,5,38
"50536",1587,1.1,0.8,7207,4,19
"50542",1642,0.5,1.8,15113,6,73
"50543",1638,1,1.7,19866,6,73
"50548",1565,0.8,0.7,13712,8,62
"50554",1524,1.8,3,29113,23,258
"50557",1817,1.2,2.1,15365,6,98
"50558",1700,0.6,5.7,10603,15,91
"50563",1805,1.2,1.6,10453,5,32
"50568",1964,0.6,1.3,7530,5,20
"50569",1602,0.5,3.2,7108,6,25
"50574",1450,0.7,0.8,9163,8,48
"50579",1788,0.8,2.4,18429,5,41
"50583",1555,0.8,1.7,12952,2,18
"50585",1734,1.3,0.9,10422,4,35
"50588",1835,0.7,1.8,16678,3,24
"50595",1574,0.7,1.6,15258,5,49
"50597",1565,1.4,0.6,32832,23,415
"50601",1712,0.4,1.4,16620,3,26
"50602",1576,0.9,1.6,25444,4,44
"50604",1566,0.9,1.3,15632,4,38
"50613",1537,1.2,1.1,17895,4,47
"50616",1574,0.7,1.7,19905,3,32
"50619",1528,0.7,1.5,8245,4,25
"50621",1692,1.3,1,18644,13,129
"50622",1702,1.1,1.2,12609,3,19
"50624",1747,1.1,0.8,40234,6,97
"50625",1623,1.4,2.6,12817,3,32
"50626",1648,0.9,2.6,9520,4,23
"50627",1847,1.1,1.9,24093,5,51
"50629",1628,0.9,1.8,11704,12,90
"50630",1454,0.8,1.6,49726,2,74
"50632",1721,0.8,3.4,19585,10,131
"50634",1335,1.2,0.9,7843,1,10
"50635",1668,0.6,1.6,20681,14,140
"50636",1659,0.5,1.8,7911,4,20
"50638",1544,0.6,1.8,12477,5,38
"50641",1490,0.6,3.5,6787,6,32
"50642",1690,0.7,1.3,8326,4,37
"50643",1593,1.5,0.7,32352,4,76
"50644",1530,1.4,1.5,12880,4,41
"50647",1670,0.4,1.4,15947,3,27
"50648",1522,1,1.2,7959,3,13
"50651",1547,1,1.1,15320,4,38
"50655",1610,0.8,3.4,4825,3,9
"50658",1579,1.3,1.7,28937,3,53
"50659",1412,0.4,2.1,12034,3,21
"50660",1706,1,1.7,22145,3,33
"50662",1548,1.7,3.2,16412,5,51
"50665",1638,0.9,0.9,12617,5,41
"50666",1658,1,3.1,7234,5,31
"50667",1584,1.1,1.2,11466,3,21
"50668",1570,0.3,1.3,7426,5,36
"50669",1585,0.6,1.7,19922,5,51
"50670",1487,0.6,1,25468,3,53
"50674",1632,0.4,1.9,10051,4,27
"50675",1613,0.9,1.9,12825,13,95
"50676",1633,1.9,2,10460,6,34
"50677",1574,0.9,1,10393,3,18
"50680",1649,1,2.2,24576,5,46
"50682",1669,0.6,1.8,14704,6,59
"50701",1430,1.2,1.4,12472,5,39
"50702",1291,1.7,1.5,9412,3,22
"50703",1380,1.2,2.4,11599,4,36
"50707",1314,0.8,1.4,17114,3,31
"50801",1847,1.2,2.2,12723,4,28
"50830",1959,1.1,1.5,13858,11,71
"50833",1617,1.6,2.3,31500,4,77
"50841",1691,1.6,1.2,12657,8,45
"50846",1649,1.8,1.9,13113,14,131
"50849",1761,0.8,0.7,16591,6,41
"50851",1735,1.6,0.9,20234,4,41
"50854",1890,0.7,1.7,4480,3,8
"50858",1992,1,2.9,13469,20,273
"50864",1832,2.1,2.7,18292,14,146
"51001",1558,0.4,1.1,45449,2,64
"51002",1841,0.4,1.5,18468,11,76
"51003",1571,0.8,0.9,12477,7,54
"51004",1634,1,3,20746,4,61
"51005",1633,0.8,1.4,5614,9,50
"51006",1683,1.8,2.1,9120,5,34
"51007",1752,1.3,1.1,16723,7,63
"51012",1582,0.9,1.2,12901,4,32
"51016",1772,2.2,1.7,3665,3,7
"51023",1551,0.8,2.1,8375,4,22
"51024",1912,1.2,1.3,19360,4,45
"51025",1544,0.8,1.1,13139,14,141
"51026",1722,2.6,1.2,-27493,5,18
"51027",1420,0.5,1.1,5410,3,15
"51028",1773,1,1.6,11644,5,36
"51030",1901,1.1,1.4,14050,6,55
"51031",1533,0.7,1,9721,3,20
"51034",1850,2.5,1.3,11718,3,20
"51038",1697,0.6,1.8,11234,5,40
"51039",1714,0.9,1.2,21692,3,55
"51040",1662,1.4,3.3,17221,3,36
"51041",1536,0.6,0.4,8523,3,15
"51046",1502,2.2,0.4,4883,6,23
"51050",1642,1.5,2.1,4994,3,11
"51052",1715,2.3,2.7,32773,2,74
"51054",1884,1.3,1.3,21823,3,30
"51055",1745,1.6,1.2,11834,6,41
"51063",2012,1.4,4.3,10702,5,27
"51103",1480,1.3,3.1,13983,5,52
"51104",1735,1.7,2,13439,5,36
"51105",1367,1.3,5.3,13726,5,44
"51106",1605,1.2,1.7,18127,7,75
"51108",1880,1.6,2.4,12631,4,25
"51109",1508,0.9,2.5,12563,4,37
"51201",1565,0.7,0.9,8994,4,24
"51239",1485,0.9,1,16188,4,45
"51240",1455,0.9,1,12877,4,45
"51241",1648,0.1,1.7,10137,27,241
"51245",1599,0.7,2.8,53235,4,90
"51246",1526,0.6,0.7,18120,3,19
"51247",1427,0.9,0.3,10004,6,38
"51248",1594,0.9,1.4,6622,5,21
"51249",1496,2.1,2,26964,4,43
"51250",1485,0.7,0.7,10640,4,26
"51301",1581,1,1.4,14944,21,174
"51331",1613,0.5,1.2,22569,4,48
"51334",1566,0.9,4.6,11611,4,24
"51338",1632,1,0.5,15062,14,103
"51342",1532,0.8,3.1,12574,6,50
"51346",1635,0.5,3.7,12579,14,101
"51347",1680,0.2,1.7,3939,4,14
"51351",1855,1,1.5,11612,6,33
"51355",2506,0.5,1.1,14440,6,36
"51357",1919,2.6,2.6,12629,9,57
"51358",1444,1.1,1.4,11568,19,155
"51360",1929,0.5,1.9,14225,6,43
"51401",1646,0.6,1,11774,4,24
"51436",1855,0.3,0.6,143679,4,206
"51442",1584,0.9,2.3,12149,6,50
"51443",1728,1,1.3,17753,10,73
"51445",1660,1.6,0.8,10531,8,50
"51449",1475,0.2,2.5,17202,4,42
"51450",1623,0.4,1.5,10266,3,27
"51454",1776,1,1.7,18437,5,52
"51455",1597,0.6,2.7,20881,4,41
"51461",1665,2.1,0.9,7894,4,24
"51462",1910,0.9,2.4,15615,6,53
"51466",1726,1.6,0.6,2951,3,6
"51501",1582,2,2.1,12847,8,62
"51503",1929,1.7,1,16426,5,41
"51510",1734,1.1,3.1,18445,6,48
"51521",1677,1.1,0.9,12788,10,80
"51525",1984,1.7,2.2,16713,12,117
"51526",2148,2,1.6,28927,2,29
"51529",1885,0.9,2,14488,4,41
"51530",1833,1.4,1.2,34367,3,65
"51533",2212,1.6,3,17112,7,59
"51534",1987,1.3,0.9,22051,6,63
"51535",1712,3,1.8,12131,7,53
"51537",1557,1.1,1.8,18177,5,41
"51542",2343,0.6,1.1,38878,3,41
"51546",2062,2.1,1.8,14833,5,37
"51548",2201,2,0.6,67104,5,103
"51551",2062,1.4,1,13210,6,37
"51553",1653,2.5,0.8,11240,4,30
"51555",2028,1.8,1.3,15018,4,28
"51556",1602,0.6,1.2,8975,4,31
"51557",1964,1.4,1.9,15031,8,54
"51559",1875,2.8,1.7,17016,7,59
"51560",1751,0.9,1.2,16063,15,136
"51561",2388,1.9,2.2,13419,8,47
"51563",1934,2.1,2,29909,6,76
"51566",1722,1.1,1.9,12052,9,59
"51570",1919,1.3,1.7,32350,7,116
"51571",2181,1.5,2.8,12438,9,67
"51573",1672,1.3,0.8,11995,6,41
"51575",2213,2.1,1,16465,4,28
"51576",2009,1.7,1.2,17155,6,60
"51577",1728,1.3,1.4,7862,17,115
"51579",1857,0.6,3.2,14926,14,121
"51601",1648,1.4,1.7,12223,6,44
"51632",1747,1.1,1.3,28111,4,54
"51638",1808,0.6,2.8,31002,6,54
"51639",1702,1.2,3.3,39810,5,97
"51640",1837,0.8,4.7,7361,6,30
"51646",1599,1.4,0.9,4468,14,122
"51652",1814,1.7,1.3,8218,7,36
"51653",2100,1.3,2.5,14241,10,66
"52001",1373,1.7,1.6,11687,2,18
"52002",1413,1.6,1.2,12681,2,18
"52003",1604,1.2,1.3,15894,3,25
"52031",1559,0.5,1.7,12296,2,17
"52032",1340,0.9,1.3,10676,4,25
"52033",1596,0.9,0.9,14892,2,34
"52037",1567,0.5,0.7,11672,8,68
"52039",1776,1.6,1.7,10783,3,22
"52040",1373,1,0.8,14483,2,19
"52041",1490,0.5,1.2,12838,3,28
"52042",1402,1.3,0.9,7059,4,21
"52043",1485,0.4,1.5,14350,3,25
"52045",1446,0.9,0.7,8472,2,13
"52046",1450,1.8,0.8,10658,3,21
"52049",1404,1.4,1,7015,1,6
"52052",1430,0.8,1.6,8475,3,15
"52053",1382,1.6,0.4,9642,2,13
"52054",1438,0.7,1.3,25755,6,69
"52057",1469,1.4,1.1,14337,3,33
"52060",1524,0.8,1.7,12388,4,29
"52064",1551,1.4,2.5,10809,6,38
"52065",1352,1.7,0.6,6865,2,11
"52068",1661,1.4,0.9,12248,3,23
"52069",1580,0.5,1.5,21105,4,56
"52070",1447,0.3,1.7,11478,4,32
"52073",1689,1,2.1,23394,2,23
"52076",1745,1,2.3,14771,2,22
"52079",1749,1,2.8,12827,4,19
"52101",1505,1.1,0.6,14294,3,30
"52132",1621,2.1,0.7,24503,6,68
"52135",1397,0.8,4.1,29413,2,43
"52136",1449,2,1,28285,3,43
"52141",1488,1.1,2.2,17920,2,42
"52142",1478,0.2,0.7,8531,1,7
"52144",1597,2.3,0.8,26398,5,132
"52146",1315,0.7,1.1,13565,11,103
"52151",1397,1.5,1.7,10569,3,21
"52154",1595,0.3,0.7,10796,4,28
"52155",1508,3.3,2.1,16070,3,39
"52157",1533,0.5,2,10811,3,22
"52158",1319,0.5,2.7,1633,1,3
"52159",1600,1.1,2.8,10134,2,21
"52160",1377,3.7,1.7,5568,1,11
"52161",1619,0.8,0.6,12347,10,102
"52162",1443,0.5,1,23344,3,50
"52165",1574,0.5,0.7,8203,5,30
"52172",1248,1.1,1.6,25872,2,35
"52175",1428,0.9,0.8,11088,4,28
"52201",1785,2.2,2.2,16084,3,40
"52202",1510,0.8,1.5,20414,19,221
"52203",1625,0.3,0.7,13027,11,117
"52205",1547,1,1.3,16190,8,71
"52206",1604,0.9,1,16086,28,322
"52208",1492,1.3,2.3,10929,18,137
"52209",1518,2,0.3,15613,15,173
"52211",1499,0.7,2.2,24624,6,87
"52213",1599,0.9,1.2,13969,6,50
"52214",1525,1,1,12726,5,40
"52215",1771,0.4,3.5,37234,19,172
"52216",1527,2.9,1.2,20712,21,274
"52218",1598,0.9,0.9,11104,8,65
"52223",1495,0.9,1.7,9904,3,21
"52224",1733,2.7,1,27750,8,112
"52227",1609,1.3,0.9,13261,13,107
"52228",1495,0.6,1,17816,29,334
"52229",1617,0.3,2.4,6481,8,42
"52233",1341,1,1.7,12835,33,312
"52235",1304,1.1,0.5,38002,3,113
"52236",1970,1,2.8,32026,12,172
"52237",1463,1,2.2,12633,3,27
"52240",1528,1.1,1.5,14851,6,56
"52241",1597,1,1.3,14956,10,87
"52245",1504,1.1,1.1,13034,5,44
"52246",1616,1.3,1.5,14318,10,90
"52247",1464,1.5,1.1,11625,3,22
"52248",1616,3.2,1.6,10743,3,20
"52249",1508,0.8,1.4,37126,23,396
"52253",1520,0.9,0.8,12145,15,113
"52254",1422,1.1,0.8,11518,6,35
"52255",1403,0.5,1,18810,16,196
"52301",1512,1.2,1.8,10124,7,39
"52302",1415,1.2,1.4,17900,32,338
"52305",1567,1.9,2.1,19843,24,303
"52306",1454,0.6,2.3,20420,12,189
"52310",1405,0.5,2.2,19471,3,49
"52314",1621,1.1,0.9,15754,20,167
"52315",1457,0.9,1.2,25984,25,472
"52316",1506,0.8,1.6,10671,3,20
"52317",1524,1.1,1.2,13737,15,142
"52318",1559,0.4,1.1,21941,23,286
"52320",1517,1.8,5,11445,17,140
"52322",1724,0.6,1,43989,7,87
"52323",1416,0.7,3.3,6274,6,24
"52324",1606,0.7,1.2,27908,26,471
"52325",1893,0.8,1.9,13866,8,47
"52326",1588,1.1,2.8,7639,3,10
"52327",1735,1,0.9,25678,4,50
"52328",1690,0.7,0.6,19563,22,229
"52329",1638,3,2.1,9440,3,38
"52330",1594,0.7,0.5,5137,5,12
"52332",1647,1.2,1.8,30399,27,546
"52333",1874,0.4,0.9,20650,10,89
"52336",1732,0.8,1.9,15128,25,229
"52337",1399,1.5,1.1,12451,19,184
"52338",1974,0.9,1,38211,15,169
"52339",1483,1.4,4.2,17314,19,248
"52340",1399,0.7,0.9,10932,7,54
"52341",1799,0.5,1.2,19587,26,334
"52342",1433,0.5,3.8,17734,18,263
"52345",1468,0.8,1.3,21715,4,47
"52346",1707,1,1.1,27410,26,589
"52347",1291,0.2,1.8,11728,4,30
"52349",1496,0.7,1.1,20759,5,93
"52351",1616,1.2,1.3,21915,28,342
"52352",1622,0.5,1.3,12226,12,121
"52353",1447,0.8,1.7,17041,3,30
"52356",1588,0.5,2,21787,3,42
"52358",1524,0.6,1.1,11999,6,52
"52361",1653,1.6,1,11704,5,37
"52362",1350,1.3,1.7,6151,6,33
"52401",1221,2.8,2,8462,27,286
"52402",1372,1.4,1.3,16455,30,336
"52403",1643,1.4,1.8,23282,28,371
"52404",1324,1.2,1.8,16197,27,326
"52405",1341,1.4,1.5,17998,27,346
"52411",1881,1.1,0.8,23199,29,362
"52501",1519,1.3,2.7,11561,3,25
"52530",1562,0.7,2.4,7523,4,18
"52531",1564,0.9,1.7,19265,4,46
"52533",1681,0.6,1.4,11096,7,62
"52535",1685,1.1,1.1,8913,3,16
"52536",1677,1.7,2.9,15312,4,30
"52537",1701,0.8,2.2,12741,3,26
"52540",1585,0.7,4,28070,3,64
"52544",1714,1.2,3.4,14371,9,77
"52551",1535,0,3,17529,9,73
"52552",1536,1.9,4.4,16407,5,78
"52553",1558,1.1,2,7602,5,26
"52554",1597,1.2,2,29967,4,57
"52556",1605,1,2.2,12185,3,20
"52561",1599,0.2,3.4,22246,6,51
"52563",1631,1.7,1.7,7851,4,16
"52565",1618,0.9,2.9,16176,22,256
"52567",1547,3,2.5,10744,4,33
"52569",1343,0.7,2.2,30403,3,52
"52571",1701,0.9,1.4,22443,4,55
"52572",1566,2.6,3.3,19127,3,134
"52574",1698,1.4,2.7,12146,6,42
"52577",1551,1,2.2,14590,3,26
"52585",1605,0.4,3.2,38969,4,78
"52590",1645,2.5,3.9,29710,2,31
"52591",1447,1.3,2.1,10884,3,22
"52601",1475,1.3,2.6,16512,6,61
"52620",1515,1.2,3.4,6625,4,18
"52621",1541,4.9,0.7,9613,2,21
"52623",1550,1.1,1.9,11597,6,61
"52624",1731,2.4,0.4,8897,19,129
"52625",1546,0.5,1.2,10591,3,16
"52626",1569,0,1.4,36862,3,103
"52627",1489,0.8,3,26840,3,44
"52632",1523,1.4,2.7,17594,4,37
"52637",1503,0.5,1.9,13763,3,30
"52638",1432,1.3,1.3,6749,9,63
"52639",1509,0.9,2.8,17269,5,67
"52640",1592,0.8,2.4,37674,2,50
"52641",1485,0.9,1.9,13612,4,36
"52645",1440,0.8,2.7,11833,4,35
"52649",1541,2.6,1.7,14867,5,43
"52650",1528,0,0.2,31225,2,53
"52653",1419,0.5,2.1,15219,2,25
"52654",1634,1.6,2,15588,2,19
"52655",1362,0.9,2.4,16992,6,62
"52656",1529,0.5,1.8,10330,4,36
"52658",1614,0.6,1.7,12079,12,95
"52659",1742,0.4,4.3,18741,3,29
"52720",1413,1.1,1.3,13058,5,45
"52721",1403,2,0.4,14834,23,266
"52722",1649,1.5,1.2,17441,18,165
"52726",1648,1,1.7,18360,7,72
"52727",1790,0.7,0.7,6179,10,38
"52728",1344,0.8,3.3,6961,6,30
"52729",1372,1.2,2.6,24740,6,75
"52730",1395,0.7,2.1,17336,6,59
"52731",1645,0.2,1.1,12708,8,66
"52732",1426,1,2.7,12777,10,78
"52738",1513,1.2,2.5,16176,3,33
"52739",1483,1.9,2,7359,5,65
"52742",1483,0.7,1.2,18123,11,111
"52745",1643,1.6,2.1,29324,9,142
"52746",1534,0.6,2.3,14279,6,60
"52747",1440,0.9,0.9,13707,10,92
"52748",1556,0.8,1.4,12870,6,48
"52749",1553,1,1.2,12174,3,25
"52750",1655,0,0.7,19201,5,46
"52751",1571,1.5,1.7,19844,12,102
"52753",1703,1.1,1.2,20352,7,89
"52754",1692,0.6,2.2,24141,10,135
"52755",1516,0.7,2.1,26737,3,50
"52756",1673,0.8,2.2,17782,7,61
"52757",1502,0.9,2,13218,11,81
"52760",1608,0.9,1.8,6820,4,20
"52761",1482,0.7,1.5,16389,5,54
"52766",1586,0.6,1.1,17611,3,29
"52767",2241,1.8,2.9,5603,8,32
"52768",1590,0.9,1.6,11832,13,100
"52769",1568,0.6,4.1,11511,9,64
"52772",1482,0.7,2.1,15613,11,107
"52773",1447,1.2,2,20599,13,139
"52776",1527,1,1.9,11836,6,43
"52777",1476,0.1,2.3,11656,16,149
"52778",1415,0.4,1.3,13302,6,48
"52802",1345,1.4,2.9,11843,8,63
"52803",1469,1.5,1.7,14575,14,128
"52804",1333,1.3,1.9,12193,11,80
"52806",1319,1.5,1.5,12263,19,161
"52807",1716,1.6,1.3,18397,20,194
"53801",1058,0.6,1.6,28011,2,67
"53806",1202,0.6,2.1,13208,2,24
"53807",1459,0.9,3.1,7845,3,17
"53811",1369,0.9,1.9,7346,2,10
"53820",1347,0.9,1.9,8882,3,22
"53821",1076,0.6,1.8,14628,2,26
"54624",1197,0.2,2,8837,3,16
"54626",1218,0.5,2.6,15730,4,57
"55909",1783,0,1.8,12442,16,129
"55919",1842,0.5,1,7716,4,24
"55922",1672,0.3,5.5,4858,1,8
"55939",1647,0.7,1.3,13762,3,29
"55951",1832,0.9,2.7,11419,3,16
"55953",2066,0.5,2.2,36554,13,273
"55954",1575,0.3,3.3,8236,3,12
"55970",1933,0.2,1,13668,9,59
"55974",1746,0,4.4,14121,1,7
"56014",1955,1.2,3.6,15284,6,55
"56027",1710,0.3,5.5,6839,5,17
"56029",1893,0.8,3.9,10201,14,93
"56031",1766,0.3,2,8555,6,27
"56036",1971,0.7,2.7,13360,10,86
"56051",1708,0.9,2.8,6772,3,17
"56110",1872,0.3,1.8,21712,12,100
"56121",1666,0.8,2.1,9883,11,84
"56138",1544,0.3,1.6,10548,13,96
"56143",1699,0.4,2,9674,5,26
"56150",1671,0.6,1.7,18285,4,41
"56187",1808,0.4,1.9,10918,5,28
"57005",2022,1.1,0.9,12926,8,52
"57013",1906,0.8,0.9,12505,9,60
"57025",2001,0.9,1,15306,4,34
"57032",2031,1.2,0.6,12484,12,79
"57034",2008,1,0.9,9697,5,24
"57038",2594,1.2,0.9,13388,3,19
"57049",2764,1.4,1,17595,6,43
"57068",2051,1.2,0.6,7620,9,51
"57108",2365,1.2,0.6,15706,6,40
"61025",1476,1,1.7,10027,3,19
"61036",1616,0.5,1,24786,2,35
"61041",1524,1,1.6,13911,5,38
"61074",1244,1,3.4,14129,4,36
"61201",1384,1.2,2.1,12949,7,60
"61230",1328,0.9,1.9,11050,8,59
"61242",1652,1,1.8,28514,11,116
"61244",1295,1,1.3,11627,9,77
"61252",1299,0.7,2,11878,9,76
"61256",1384,1,1.4,14692,9,106
"61259",1789,0.7,1.3,14913,9,73
"61264",1406,0.6,1.6,13631,6,51
"61265",1358,0.9,1.6,13585,7,68
"61272",1392,1.4,3.1,11598,5,42
"61275",1694,0.8,1,13681,8,69
"61278",1728,0.4,1.2,9734,5,32
"61285",1389,0.6,1.3,7908,4,23
"61425",1335,0,2.9,11056,9,92
"61437",1439,0.4,3.3,9645,4,28
"61442",1244,0.4,4.5,21330,6,122
"61454",1506,0.4,2.7,15859,6,71
"61469",1311,0.3,2.2,12599,4,35
"62330",1595,0.9,3,15847,4,41
"62341",1520,1,1.9,10050,5,37
"62354",1483,0.9,1.5,8502,7,38
"62358",1622,0.7,3.6,6293,4,13
"62379",1614,0.9,2.6,17205,6,60
"63555",1943,1.4,4.3,16016,6,71
